0	parameters	time (sec)	CPU memory (MB)	id	true_motif	find_motif	average_similarity
127	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun nc -mod anr <input file> -oc <output path>	3970	477	meme_127	2	10	0.4803842829629271
128	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun nc -mod anr <input file> -oc <output path>	4029	476	meme_128	3	10	0.5063187235605843
129	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun nc -mod anr <input file> -oc <output path>	3773	601	meme_129	2	10	0.6463056434044057
130	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun nc -mod anr <input file> -oc <output path>	3832	611	meme_130	3	10	0.6116455138507282
131	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun nc -mod anr <input file> -oc <output path>	3770	611	meme_131	2	10	0.5500254153843571
132	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun nc -mod anr <input file> -oc <output path>	3833	611	meme_132	2	10	0.6678992995537147
133	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 0 -objfun ce -mod anr <input file> -oc <output path>	0	19	meme_133	0	0	0
134	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 1 -objfun ce -mod anr <input file> -oc <output path>	0	19	meme_134	0	0	0
135	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 2 -objfun ce -mod anr <input file> -oc <output path>	0	19	meme_135	0	0	0
136	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 3 -objfun ce -mod anr <input file> -oc <output path>	0	19	meme_136	0	0	0
137	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 0 -objfun ce -mod anr <input file> -oc <output path>	0	18	meme_137	0	0	0
138	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 1 -objfun ce -mod anr <input file> -oc <output path>	0	9	meme_138	0	0	0
139	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 2 -objfun ce -mod anr <input file> -oc <output path>	0	19	meme_139	0	0	0
140	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 3 -objfun ce -mod anr <input file> -oc <output path>	0	19	meme_140	0	0	0
141	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 0 -objfun ce -mod anr <input file> -oc <output path>	0	14	meme_141	0	0	0
142	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 1 -objfun ce -mod anr <input file> -oc <output path>	0	12	meme_142	0	0	0
143	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 2 -objfun ce -mod anr <input file> -oc <output path>	0	19	meme_143	0	0	0
144	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 3 -objfun ce -mod anr <input file> -oc <output path>	0	18	meme_144	0	0	0
145	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun classic -mod oops <input file> -oc <output path>	116	222	meme_145	1	3	0.6348105033934244
146	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun classic -mod oops <input file> -oc <output path>	114	222	meme_146	1	3	0.6177651090731989
147	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun classic -mod oops <input file> -oc <output path>	160	226	meme_147	1	3	0.6278480933615324
148	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun classic -mod oops <input file> -oc <output path>	161	224	meme_148	0	3	0.6823200734728946
149	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun classic -mod oops <input file> -oc <output path>	180	218	meme_149	1	3	0.6348105033934244
150	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun classic -mod oops <input file> -oc <output path>	180	212	meme_150	1	3	0.6177651090731989
151	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun classic -mod oops <input file> -oc <output path>	165	216	meme_151	1	3	0.6278480933615324
152	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun classic -mod oops <input file> -oc <output path>	171	208	meme_152	0	2	0.5280772942143168
153	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun classic -mod oops <input file> -oc <output path>	156	202	meme_153	0	2	0.5724725711806657
154	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun classic -mod oops <input file> -oc <output path>	160	219	meme_154	0	2	0.5736221412481232
155	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun classic -mod oops <input file> -oc <output path>	162	221	meme_155	0	2	0.5753991976918544
156	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun classic -mod oops <input file> -oc <output path>	122	203	meme_156	0	2	0.5774434913668063
157	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun de -mod oops <input file> -oc <output path>	1189	395	meme_157	0	3	0.5447488103412804
158	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun de -mod oops <input file> -oc <output path>	1132	386	meme_158	0	3	0.6270192373300448
159	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun de -mod oops <input file> -oc <output path>	1105	387	meme_159	0	3	0.5581918049957667
160	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun de -mod oops <input file> -oc <output path>	1438	400	meme_160	0	3	0.4160594736715704
161	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun de -mod oops <input file> -oc <output path>	1893	401	meme_161	0	3	0.5447488103412804
162	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun de -mod oops <input file> -oc <output path>	1800	386	meme_162	0	3	0.6270192373300448
163	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun de -mod oops <input file> -oc <output path>	1796	386	meme_163	0	3	0.5581918049957667
164	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun de -mod oops <input file> -oc <output path>	1960	392	meme_164	0	3	0.4160594736715704
165	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun de -mod oops <input file> -oc <output path>	1873	399	meme_165	0	3	0.5447488103412804
166	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun de -mod oops <input file> -oc <output path>	1384	389	meme_166	0	3	0.6270192373300448
167	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun de -mod oops <input file> -oc <output path>	1438	394	meme_167	0	3	0.5581918049957667
168	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun de -mod oops <input file> -oc <output path>	1613	386	meme_168	0	3	0.4160594736715704
169	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun se -mod oops <input file> -oc <output path>	1409	393	meme_169	0	3	0.5447488103412804
170	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun se -mod oops <input file> -oc <output path>	1424	393	meme_170	0	3	0.6270192373300448
171	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun se -mod oops <input file> -oc <output path>	1241	388	meme_171	0	3	0.5581918049957667
172	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun se -mod oops <input file> -oc <output path>	1442	387	meme_172	0	3	0.5960395655053078
173	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun se -mod oops <input file> -oc <output path>	1578	387	meme_173	0	3	0.5447488103412804
174	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun se -mod oops <input file> -oc <output path>	1602	386	meme_174	0	3	0.6270192373300448
175	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun se -mod oops <input file> -oc <output path>	1547	386	meme_175	0	3	0.5581918049957667
176	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun se -mod oops <input file> -oc <output path>	1595	398	meme_176	0	3	0.5960395655053078
177	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun se -mod oops <input file> -oc <output path>	2084	389	meme_177	0	3	0.5447488103412804
178	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun se -mod oops <input file> -oc <output path>	2087	388	meme_178	0	3	0.6270192373300448
179	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun se -mod oops <input file> -oc <output path>	1516	386	meme_179	0	3	0.5581918049957667
180	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun se -mod oops <input file> -oc <output path>	1501	386	meme_180	0	3	0.5960395655053078
181	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun cd -mod oops <input file> -oc <output path>	766	206	meme_181	0	3	0.597878472018264
182	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun cd -mod oops <input file> -oc <output path>	910	203	meme_182	0	3	0.5993619616772408
183	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun cd -mod oops <input file> -oc <output path>	868	218	meme_183	0	3	0.5945242339185123
184	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun cd -mod oops <input file> -oc <output path>	1372	219	meme_184	0	3	0.5820899033412076
185	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun cd -mod oops <input file> -oc <output path>	2078	218	meme_185	0	3	0.597878472018264
186	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun cd -mod oops <input file> -oc <output path>	1541	205	meme_186	0	3	0.5993619616772408
187	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun cd -mod oops <input file> -oc <output path>	1609	203	meme_187	0	3	0.5945242339185123
188	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun cd -mod oops <input file> -oc <output path>	1777	203	meme_188	0	3	0.5820899033412076
189	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun cd -mod oops <input file> -oc <output path>	1277	203	meme_189	0	3	0.597878472018264
190	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun cd -mod oops <input file> -oc <output path>	1514	217	meme_190	0	3	0.5993619616772408
191	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun cd -mod oops <input file> -oc <output path>	1639	203	meme_191	0	3	0.5945242339185123
192	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun cd -mod oops <input file> -oc <output path>	1503	218	meme_192	0	3	0.5820899033412076
193	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun nc -mod oops <input file> -oc <output path>	34	204	meme_193	1	3	0.6348105033934244
194	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun nc -mod oops <input file> -oc <output path>	33	220	meme_194	1	3	0.6177651090731989
195	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun nc -mod oops <input file> -oc <output path>	33	219	meme_195	1	3	0.629855428666139
196	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun nc -mod oops <input file> -oc <output path>	38	218	meme_196	0	4	0.5119126975114832
197	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun nc -mod oops <input file> -oc <output path>	49	206	meme_197	1	3	0.6348105033934244
198	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun nc -mod oops <input file> -oc <output path>	41	201	meme_198	1	3	0.6177651090731989
199	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun nc -mod oops <input file> -oc <output path>	42	206	meme_199	1	3	0.629855428666139
200	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun nc -mod oops <input file> -oc <output path>	50	205	meme_200	0	2	0.6078289655532936
201	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun nc -mod oops <input file> -oc <output path>	46	198	meme_201	0	2	0.5724725711806657
202	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun nc -mod oops <input file> -oc <output path>	46	198	meme_202	0	2	0.5870805763618654
203	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun nc -mod oops <input file> -oc <output path>	38	205	meme_203	0	2	0.5861442336576328
204	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun nc -mod oops <input file> -oc <output path>	48	213	meme_204	0	2	0.5855165683120204
205	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 0 -objfun ce -mod oops <input file> -oc <output path>	1285	203	meme_205	0	3	0.5980106133577309
206	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 1 -objfun ce -mod oops <input file> -oc <output path>	1324	209	meme_206	0	3	0.5994583949355621
207	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 2 -objfun ce -mod oops <input file> -oc <output path>	1224	210	meme_207	0	3	0.5947620489931799
208	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 3 -objfun ce -mod oops <input file> -oc <output path>	1194	212	meme_208	0	3	0.5821053781110276
209	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 0 -objfun ce -mod oops <input file> -oc <output path>	1776	203	meme_209	0	1	0.6140392355446831
210	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 1 -objfun ce -mod oops <input file> -oc <output path>	1675	203	meme_210	0	1	0.6098599209263993
211	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 2 -objfun ce -mod oops <input file> -oc <output path>	1840	203	meme_211	0	2	0.6683515905194046
212	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 3 -objfun ce -mod oops <input file> -oc <output path>	1665	218	meme_212	0	2	0.6654985901851911
213	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 0 -objfun ce -mod oops <input file> -oc <output path>	1480	203	meme_213	0	3	0.5980106133577309
214	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 1 -objfun ce -mod oops <input file> -oc <output path>	1455	203	meme_214	0	3	0.5994583949355621
215	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 2 -objfun ce -mod oops <input file> -oc <output path>	1052	218	meme_215	0	3	0.5947620489931799
216	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 3 -objfun ce -mod oops <input file> -oc <output path>	1044	203	meme_216	0	3	0.5821053781110276
