0	parameters	time (sec)	CPU memory (MB)	id	true_motif	find_motif	average_similarity
31	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun se -mod zoops <input file> -oc <output path>	9178	393	meme_31	2	10	0.46781639303411204
32	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun se -mod zoops <input file> -oc <output path>	9086	391	meme_32	2	10	0.524873760764262
33	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun se -mod zoops <input file> -oc <output path>	6354	382	meme_33	2	10	0.5268936155801804
34	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun se -mod zoops <input file> -oc <output path>	6800	392	meme_34	2	10	0.5136807783188723
35	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun se -mod zoops <input file> -oc <output path>	7040	391	meme_35	2	10	0.4399030493405568
36	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun se -mod zoops <input file> -oc <output path>	5670	382	meme_36	2	10	0.5334769370278512
37	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun cd -mod zoops <input file> -oc <output path>	4647	272	meme_37	0	10	0.4333362934976427
38	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun cd -mod zoops <input file> -oc <output path>	5226	273	meme_38	0	10	0.4864725638720266
39	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun cd -mod zoops <input file> -oc <output path>	5382	272	meme_39	0	10	0.4451309687737225
40	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun cd -mod zoops <input file> -oc <output path>	5401	252	meme_40	0	10	0.40484431567112633
41	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun cd -mod zoops <input file> -oc <output path>	7152	353	meme_41	1	10	0.47198416078439653
42	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun cd -mod zoops <input file> -oc <output path>	8650	359	meme_42	0	10	0.44873732689028323
43	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun cd -mod zoops <input file> -oc <output path>	9172	359	meme_43	0	10	0.4520321600073477
